主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
265,380V,交直流间隔,交流系统,辅助设备,,,,站用电I段母线BC线电压,站用电I段母线BC线电压
266,380V,交直流间隔,交流系统,辅助设备,,,,站用电I段母线CA线电压,站用电I段母线CA线电压
267,380V,交直流间隔,交流系统,辅助设备,,,,站用电II段母线AB线电压,站用电II段母线AB线电压
268,380V,交直流间隔,交流系统,辅助设备,,,,站用电II段母线BC线电压,站用电II段母线BC线电压
269,380V,交直流间隔,交流系统,辅助设备,,,,站用电II段母线CA线电压,站用电II段母线CA线电压
270,110kV,1号主变,1号主变接地变,负荷,有功,越限,,1#接地变有功,1#接地变有功
271,110kV,1号主变,1号主变接地变,负荷,无功,越限,,1#接地变无功,1#接地变无功
272,110kV,1号主变,1号主变接地变,负荷,A相电流,越限,,1#接地变A相电流,1#接地变A相电流
273,110kV,1号主变,1号主变接地变,负荷,B相电流,越限,,1#接地变B相电流,1#接地变B相电流
274,110kV,1号主变,1号主变接地变,负荷,C相电流,越限,,1#接地变C相电流,1#接地变C相电流
275,110kV,2号主变,2号主变接地变,负荷,有功,越限,,2#接地变有功,2#接地变有功
276,110kV,2号主变,2号主变接地变,负荷,无功,越限,,2#接地变无功,2#接地变无功
277,110kV,2号主变,2号主变接地变,负荷,A相电流,越限,,2#接地变A相电流,2#接地变A相电流
278,110kV,2号主变,2号主变接地变,负荷,B相电流,越限,,2#接地变B相电流,2#接地变B相电流
279,110kV,2号主变,2号主变接地变,负荷,C相电流,越限,,2#接地变C相电流,2#接地变C相电流
280,380V,交直流间隔,直流系统,辅助设备,,,,I段直流母线电压,I段直流母线电压
281,380V,交直流间隔,直流系统,辅助设备,,,,II段直流母线电压,II段直流母线电压
282,380V,交直流间隔,直流系统,辅助设备,,,,蓄电池组电压,蓄电池组电压
283,380V,交直流间隔,直流系统,辅助设备,,,,蓄电池组电流,蓄电池组电流
284,380V,交直流间隔,直流系统,辅助设备,,,,充电机直流输出电压,充电机直流输出电压
285,380V,交直流间隔,直流系统,辅助设备,,,,充电机直流输出电流,充电机直流输出电流
286,380V,交直流间隔,直流系统,辅助设备,,,,通信直流电源电压,通信直流电源电压
