主站点号,电压等级,间隔名称,设备名称,设备大类,量测类型,信息分类,越限高限值,主站端描述,厂站端描述
401,10kV,10kV2066电容器,10kV2066电容器,电容电抗,B相电流,越限,,2066B相电流,2066B相电流
402,10kV,10kV2066电容器,10kV2066电容器,电容电抗,C相电流,越限,,2066C相电流,2066C相电流
403,10kV,10kV2066电容器,10kV2066电容器,电容电抗,无功,越限,,2066无功值,2066无功值
404,380V,交直流系统,直流系统,辅助设备,,越限,,Ⅰ段直流母线电压,Ⅰ段直流母线电压
405,380V,交直流系统,直流系统,辅助设备,,越限,,Ⅱ段直流母线电压,Ⅱ段直流母线电压
406,380V,交直流系统,直流系统,辅助设备,,越限,,充电机1直流输出电流,充电机1直流输出电流
407,380V,交直流系统,直流系统,辅助设备,,越限,,充电机1直流输出电压,充电机1直流输出电压
408,380V,交直流系统,直流系统,辅助设备,,越限,,充电机2直流输出电压,充电机2直流输出电压
409,380V,交直流系统,直流系统,辅助设备,,越限,,充电机2直流输出电流,充电机2直流输出电流
410,380V,交直流系统,直流系统,辅助设备,,越限,,通信直流电源电压,通信直流电源电压
411,380V,交直流系统,直流系统,辅助设备,,越限,,蓄电池组1电压,蓄电池组1电压
412,380V,交直流系统,直流系统,辅助设备,,越限,,蓄电池组1电流,蓄电池组1电流
413,380V,交直流系统,直流系统,辅助设备,,越限,,蓄电池组2电压,蓄电池组2电压
414,380V,交直流系统,直流系统,辅助设备,,越限,,蓄电池组2电流,蓄电池组2电流
415,380V,交直流系统,交流系统,辅助设备,,越限,,站用电I段母线AB线电压,站用电I段母线AB线电压
416,380V,交直流系统,交流系统,辅助设备,,越限,,站用电I段母线BC线电压,站用电I段母线BC线电压
417,380V,交直流系统,交流系统,辅助设备,,越限,,站用电I段母线CA线电压,站用电I段母线CA线电压
418,380V,交直流系统,交流系统,辅助设备,,越限,,站用电II段母线AB线电压,站用电II段母线AB线电压
419,380V,交直流系统,交流系统,辅助设备,,越限,,站用电II段母线BC线电压,站用电II段母线BC线电压
420,380V,交直流系统,交流系统,辅助设备,,越限,,站用电II段母线CA线电压,站用电II段母线CA线电压
421,380V,交直流系统,交流系统,辅助设备,,越限,,401有功,401有功
422,380V,交直流系统,交流系统,辅助设备,,越限,,401无功,401无功
423,380V,交直流系统,交流系统,辅助设备,,越限,,401开关A相电流,401开关A相电流
424,380V,交直流系统,交流系统,辅助设备,,越限,,401开关B相电流,401开关B相电流
425,380V,交直流系统,交流系统,辅助设备,,越限,,401开关C相电流,401开关C相电流
426,380V,交直流系统,交流系统,辅助设备,,越限,,402有功,402有功
427,380V,交直流系统,交流系统,辅助设备,,越限,,402无功,402无功
428,380V,交直流系统,交流系统,辅助设备,,越限,,402开关A相电流,402开关A相电流
429,380V,交直流系统,交流系统,辅助设备,,越限,,402开关B相电流,402开关B相电流
430,380V,交直流系统,交流系统,辅助设备,,越限,,402开关C相电流,402开关C相电流
431,380V,交直流系统,交流系统,辅助设备,,越限,,445开关A相电流,445开关A相电流
432,380V,交直流系统,交流系统,辅助设备,,越限,,445开关B相电流,445开关B相电流
433,380V,交直流系统,交流系统,辅助设备,,越限,,445开关C相电流,445开关C相电流
